SAT Score,HS GPA,College GPA
1080,3.3,3.24
1220,2.8,2.83
1210,3.75,3.18
1150,2.6,1.7
1030,3.8,2.66
1030,2.8,2.85
1080,3.5,2.63
1030,2.8,3.29
890,2.75,1.44
790,3.25,1.54
950,3.75,2.42
1300,3.7,2.9
870,2.7,0.9
920,3.7,1
1120,3.4,3.11
910,3.75,1.84
1020,3.5,1.95
1040,2.3,1.98
1350,4,3.72
1230,3.8,2.6
1130,3.8,2.82
910,3,2.14
1080,3.3,1.5
1220,3.8,2.88
990,3.75,2.97
1230,4,2.61
750,3,1.36
1150,2.5,3.64
1140,3,2.09
770,2.5,2.47
1010,3.2,2.4
950,3,2.33
790,2.9,1.37
1260,2.8,3.05
1170,3.9,2.81
1140,3.5,2.96
910,3.8,2.35
1420,4,2.55
1200,2.75,2.98
980,2.5,1.54
830,3,2.3
960,3.1,1.7
1170,4,2.47
1230,3,2.11
1010,3.6,3.63
1030,3.3,2.68
880,2.9,1.32
860,2.9,1.42
1060,2.5,1.8
1170,3,2.21
1150,3.8,3.24
1100,3.4,2.35
830,2.75,2.04
1440,4,4
940,3.75,2.06
1370,3.8,3.55
980,2.5,1.79
940,2.3,1.77
930,4,3.02
1100,3.5,3.04
1150,3.25,2.69
900,2,0
1190,3,1.87
980,2.9,1.9
1170,3.3,1.35
1070,3.5,2.54
800,3.5,2
1030,2.8,2.93
990,4,3.24
880,2.9,1.98
1120,3.4,2
990,2.6,2.94
900,2.6,2.8
1040,3.25,2.9
1070,2.5,3.1
1200,3.7,1.82
1130,3.4,2.52
1330,3.2,3.07
850,2.8,1.92
870,4,2.31
1440,4,3.66
950,3.4,2.3
880,3.1,3.66
810,2.67,2.42
1030,2.7,1.41
850,3,1.79
1080,3.3,2.47
890,2.5,1.92
1150,2.7,2.22
810,3.1,0.77
850,2.5,2.88
1190,2.5,1.78
1040,4,2.14
1200,4,3.12
1070,3.2,2.25
1080,3.3,2.62
1080,3.2,3.24
880,2.5,2.95
880,3.1,2.02
900,2.6,1.66
1010,2.5,1.98
1280,3.2,2.26
1170,3.9,3.94
900,3,2.73
860,3.4,3.28
1190,4,2.27
1000,4,3.21
1030,3.8,1.13
1030,2.8,2.27
840,2.5,1.72
900,3,2.49
1190,4,3.36
1060,3.7,3.02
760,3,2.73
760,2,2.24
1210,4,3
980,3.8,3.25
1010,3.7,3.44
1110,3.6,2.75
1080,2.7,2.15
1110,3.7,2.09
890,2.7,1.79
840,2.6,0.67
910,4,3.12
930,3.75,3.59
1240,3.75,3.08
1040,3.4,3.8
1180,3.75,3.14
920,2.3,2.44
840,2.5,3.15
1020,3.5,2.69
1040,3.5,2.51
960,3,3.14
1100,2.75,1.14
710,2.3,1.65
1150,3,3.13
1190,3.3,3.22
950,2.7,2.33
1190,3.1,1.61
840,3.3,2.38
1050,2.75,2.08
1040,4,3.51
650,3,1.43
1230,4,3.19
1100,4,3.63
840,2.9,3.04
880,2.75,2.13
1020,2.25,1.13
1200,4,3.5
1120,2.5,2.27
1000,2.8,2.15
930,3.7,2.93
940,3.2,1.95
920,2.9,2.23
930,3.4,2.36
960,4,2.98
1030,3.33,2.25
930,2.7,2.38
1270,3.8,3.63
980,2.5,2.03
1240,4,3.57
1260,4,3.31
860,3.5,2.96
980,3.3,3.4
1170,3,2.02
1130,3.5,1.95
1010,3.3,2.4
970,2.6,2.24
970,2.7,1.63
770,2.8,1.44
910,3.1,2.37
1270,4,2.75
1320,3.75,3.48
710,3.5,2.1
950,3.5,2.88
900,2.6,2.17
1070,3.4,2.55
1020,3.9,3.16
1020,4,3.4
1060,2.5,0.55
970,3,2
850,2.4,2.24
1060,3.3,2.56
1150,3.6,3.38
1140,3.5,3.3
980,2,1.18
810,2,1.49
1010,2.3,2.67
1070,2.8,2.04
1010,4,3.4
1330,4,3.89
1040,2.5,2.94
1010,3.4,1.95
1040,2.9,2.38
1030,3.2,2.8
1280,3.75,3.38
880,3.25,2.83
1310,3,2.43
1080,2.5,2.09
960,2.5,1.24
970,3.2,2.15
1070,4,3.6
1060,3.7,2.65
1000,3.9,4
900,2.67,2.58
910,2.8,1.64
1210,3.5,3.86
720,2.8,1.78
700,2.4,1.98
1010,3,1
1000,3.5,2.48
950,2.5,1.19
